Id,Label,cultural,historical,factual,general,fandom,image,text,blip_pred,llama_pred,llava_pred,mini_pred
821869225228832768,0,1,1,0,0,1,821869225228832768.jpg, <my endless love .>.,1,1,0,0
820417003714445312,1,0,1,0,0,0,820417003714445312.jpg," <breaking news <user> <user> france called and wants the statue of liberty returned by 12:01 pm on january 20 , 2017 .>.",1,1,1,1
823313227740160000,0,0,1,0,0,0,823313227740160000.jpg, <special weekend celebrating 30 year anniversary of the winning 1987 world cup>.,1,1,0,0
822230390739968000,0,1,0,0,0,0,822230390739968000.jpg, <stephen king on 'blood on the tracks ' . ( <user> )>.,1,1,0,1
822222640165306368,1,1,1,0,0,0,822222640165306368.jpg, <obama 's inauguration concert 2009 versus trump 's ! what kind of loser can 't even get a couple of decent singers for his inauguration ? sad !>.,0,1,1,1
822222349256822784,0,0,1,0,0,0,822222349256822784.jpg, <trump family applauds at feet of abraham lincoln as fireworks spell out u-s-a .>.,1,1,0,1
822223675730657280,0,1,1,0,0,0,822223675730657280.jpg, <barack obama campaigning for bernie sanders in 2006 .>.,1,1,0,1
819692146139635712,0,0,1,0,0,0,819692146139635712.jpg, <the queen>.,1,1,0,1
822591169997795328,0,0,1,0,0,0,822591169997795328.jpg, <i learned from a college professor that punching nazis is always okay .>.,0,1,0,1
822587900118364160,0,0,1,0,0,0,822587900118364160.jpg," <joseph brant , mohawk , 1835 . ⊕ painting by charles bird king .>.",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,0,1
819691785064693760,0,0,1,0,0,0,819691785064693760.jpg," <i 've been appointed deputy features editor of <user> famous deputies from history : deputy dawg , deputy wyatt earp .>.",1,1,0,1
898546136293572608,1,1,0,0,0,0,898546136293572608.jpg, <if it wasn 't for the rocky statue ... children would never know the history of the italian stallion .>.,1,1,1,1
830094271579615232,1,0,1,0,0,0,830094271579615232.jpg, <<user> probably a man who has no clue what he 's talking about then ?>.,0,0,0,1
878104052344561664,1,0,1,0,0,0,878104052344561664.jpg," <did you know that hitler was crazy ! ? apparently , this is news that <user> thinks you may not know !>.",1,1,1,1
897957095814840320,1,0,1,0,0,0,897957095814840320.jpg, <how dare those alt left people attack those alt right nazis on normandy !>.,1,1,0,1
918189817028071424,1,0,1,0,0,0,918189817028071424.jpg," <people are inherently bad and can 't manage their own lives , so let 's put people in charge of them .>.",1,1,1,1
859186127978319872,1,1,1,0,0,0,859186127978319872.jpg," <what a shining example of knowledge , thought , and insight when it comes to american history !>.",0 if it is non sarcasm,0,1,1
894777105182998528,1,1,1,0,0,0,894777105182998528.jpg, <exposed ! first country on earth actually run by jews ! where will this lead up to ?>.,1,1,0,1
822222181899890688,0,0,1,0,0,0,822222181899890688.jpg, <a historic meeting between two great minds in the>.,1,1,0,0
823309146011340800,0,0,1,0,0,0,823309146011340800.jpg," <m60a3 main battle tank of the 3rd armored division , 3-32 nd armored regt , moves along a street in germany during exercise reforger ' 85 .>.",1,1,0,0
817519636744982528,0,1,1,0,0,0,817519636744982528.jpg," <danish coin from 1659 shows god cutting off the hand of the swedish king , who is reaching for the danish crown .>.",1,0,0,1
937250174572945408,1,1,0,0,0,0,937250174572945408.jpg, <government of india should start printing <num> rupee note as a tribute to virat kohli . 6th double ton .. unbelievable ! ! <user> <user> <user> <user> <user> <user>>.,1,1,0,1
937250174572945408,1,1,0,0,0,0,937250174572945408.jpg, <government of india should start printing <num> rupee note as a tribute to virat kohli . 6th double ton .. unbelievable ! ! <user> <user> <user> <user> <user> <user>>.,1,1,0,1
876520946395480064,1,0,0,0,0,0,876520946395480064.jpg, <picture of me enjoying father 's day with my dad today .....>.,1,1,0,0
698705949096337408,1,0,0,1,0,0,698705949096337408.jpg, <great weekend for a mini getaway in burlington !>.,0 if it is non sarcasm 1 if it is sarcasm,1,0,0
868951924581728256,1,1,0,1,0,0,868951924581728256.jpg," <tired of internationalist , globalist human rights ? campaign for raising the age of marriage here at home in america !>.",1,1,0,1
927598817666523136,1,1,0,0,0,0,927598817666523136.jpg," <when u become secular , liberal & muslim feminist u can shampoo ur hair with hijab on ur head . malaysia ( 2017 ) . <user>>.",1,0,1,1
862391626240413696,1,0,0,1,0,0,862391626240413696.jpg," <that 's odd , i wonder why nobody cycles to silverdale ? could it be that our highway doesn 't have cycleways ?>.",0,1,0,1
849284009032953856,1,0,0,0,0,0,849284009032953856.jpg," <nationalhuganewspersonday - hugs ? instead , grab 'em by their poodyhat ears and unmask them .>.",1,1,1,1
684530584765333504,1,0,0,0,0,0,684530584765333504.jpg, <gotta love the high quality products from the lake stevens <user> .>.,1,1,0,1
897064151318757376,1,0,0,1,0,0,897064151318757376.jpg, <: some terrific destinations on the earth !>.,1,1,0,1
720068381123039232,1,0,0,1,0,0,720068381123039232.jpg, <we heard the cool thing was to send random # dickpics so here you go but seriously rump>.,1,1,1,1
942793570381062144,1,1,0,0,0,0,942793570381062144.jpg, <i am grateful mr mccain continues to receive the same excellent care available to all americans . from <user> :>.,0,1,1,1
688048010777853952,1,0,0,0,0,0,688048010777853952.jpg, <up in the club last night with my bad woes td>.,1,1,0,1
755107214982021120,1,1,0,1,0,0,755107214982021120.jpg, <when you 're bff tells you that she talks more to you than her boyfriend>.,1,1,1,1
891346636248465408,1,1,0,0,0,0,891346636248465408.jpg, <tom <user> 6pm 4m # bollywood <num> # monsoon <num> # phattgayee # greentea # samosa bookmyshow>.,1,1,0,1
866656809737760768,1,0,0,1,0,0,866656809737760768.jpg, <great work picsart>.,0,1,1,1
911206530065743872,1,0,0,1,0,0,911206530065743872.jpg, <<user> help hank ! all of these big numbers . i am losing my mind !>.,1,1,0,1
731546468629270528,1,0,0,1,0,0,731546468629270528.jpg, <yeah ... athletes that stay <num> years in college have less nba potential>.,1,1,0,1
697460829185134592,1,1,0,0,0,0,697460829185134592.jpg, <<user> <user> <user> was my point ! yours ? ?>.,1,1,0,1
840363096715669504,1,1,0,0,0,0,840363096715669504.jpg, <now that was always going to be a revelation>.,0 if it is non sarcasm and 1 if it is sarcasm,0,0,1
929370357441576960,1,1,0,0,0,0,929370357441576960.jpg, <editing b bad ... il justify it later in life chat .. but this has been my emotion since the track started>.,1,1,1,1
691725882860306432,1,0,0,0,0,0,691725882860306432.jpg, <my cat thinks she so helpful with homework>.,1,1,1,1
825359914264567808,1,0,0,1,0,0,825359914264567808.jpg, <love a bit of energy wasting # turnitoff <user>>.,0,1,1,1
926424009054523392,1,1,0,0,0,0,926424009054523392.jpg, <congratulations <user> and <user> ! well done !>.,1 tweet,1,1,1
806920770286997504,1,0,0,0,1,0,806920770286997504.jpg, <a fellow crew member sent me this earlier this morning . she stated that she could actually picture me saying this ....>.,1,"Based on the text provided, it is not possible to determine whether the statement is sarcasm or not. The text simply states that someone sent the image to the person, without providing any context or additional information about the statement.",1,1
712895974700675072,1,1,1,0,0,0,712895974700675072.jpg, <good to see hillary rush to the defense of islam after the tragedy in belgium>.,0,1,0,1
780918708386398208,1,1,0,0,0,0,780918708386398208.jpg, <now that 's a real story <user>>.,1,1,0,0
688045940477968384,1,0,0,1,0,0,688045940477968384.jpg," <how to write good ,>.",0,0,0,<
858789950715830272,1,0,0,1,0,0,858789950715830272.jpg, <just a few storm / flooding reports over the past <num> hours .>.,1 a map of the area with a lot of storms,1,0,1
909463398911320064,1,0,0,1,0,0,909463398911320064.jpg, <<user> our power has been out for <num> hours in our neighborhood . just measured the temps in our fridge . <num> degrees . thanks .>.,0,1,0,1
755123608561803264,1,1,0,0,0,0,755123608561803264.jpg, <be scared <user> <user>>.,1,0,1,1
849836544341012480,1,1,0,0,0,0,849836544341012480.jpg, <learn to respect this man ! <user>>.,1,1,1,1
920897037842837504,1,1,0,0,0,0,920897037842837504.jpg, <good luck with finding these two this diwali ! ;)>.,1,1,1,1
877549342357409792,1,1,0,0,0,0,877549342357409792.jpg, <- babaramdev will deliver patanjali products himself at free home delivery charges .>.,1,1,0,1
869443541230997504,1,0,0,0,1,0,869443541230997504.jpg, <you too can be a real life expert security analyst in just 12mths from home ! but its true>.,0 if it is non sarcasm and 1 if it is sarcasm,1,1,1
